pseudotime,Retina-Sham,Retina-MB,OpticNerve-Sham,OpticNerve-MB
0.87291,0.02033,0.01613,0.02313,0.03971
0.87625,0.02772,0.01569,0.02268,0.04048
0.8796,0.03561,0.01533,0.02282,0.04056
0.88294,0.04277,0.01508,0.02389,0.03985
0.88629,0.04811,0.01495,0.02584,0.03837
0.88963,0.05102,0.01494,0.02827,0.0363
0.89298,0.05156,0.015,0.03073,0.03393
0.89632,0.05034,0.01505,0.03281,0.03159
0.89967,0.04819,0.01502,0.03418,0.02962
0.90301,0.04571,0.01483,0.03451,0.02831
0.90635,0.04307,0.01441,0.0335,0.02785
0.9097,0.04005,0.01375,0.03095,0.02828
0.91304,0.0364,0.01287,0.02701,0.02946
0.91639,0.0321,0.01183,0.02217,0.03109
0.91973,0.02759,0.01074,0.01722,0.03276
0.92308,0.02355,0.00971,0.01298,0.03401
0.92642,0.02066,0.00886,0.01002,0.03444
0.92977,0.01926,0.00827,0.00849,0.03383
0.93311,0.0192,0.00799,0.00808,0.03211
0.93645,0.01995,0.00803,0.0082,0.02946
0.9398,0.02079,0.00836,0.00823,0.02619
0.94314,0.02109,0.0089,0.00782,0.02273
0.94649,0.02048,0.00956,0.00702,0.01946
0.94983,0.01893,0.01021,0.00619,0.01669
0.95318,0.01672,0.01077,0.00574,0.01457
0.95652,0.01426,0.01114,0.00592,0.0131
0.95987,0.01195,0.01126,0.00661,0.01215
0.96321,0.01003,0.01111,0.0074,0.01149
0.96656,0.0086,0.01069,0.0078,0.01093
0.9699,0.00758,0.01002,0.00749,0.01028
0.97324,0.00686,0.00915,0.00645,0.00944
0.97659,0.00628,0.00813,0.00496,0.00837
0.97993,0.00578,0.00704,0.00339,0.00714
0.98328,0.00533,0.00594,0.00206,0.00581
0.98662,0.00499,0.00487,0.00111,0.00451
0.98997,0.00479,0.00388,0.00053,0.00332
0.99331,0.0047,0.003,0.00023,0.00232
0.99666,0.00461,0.00226,9e-05,0.00153
1.0,0.00439,0.00164,3e-05,0.00095
