compound,reversal_score,DAM_up,IFN_up,Chemokine_up,Homeo_down
irinotecan hydrochloride trihydrate,3.249067224625888,0.0516740149570675,,0.0709473774154047,0.0905548033415685
nsc 23766,3.223369892400908,0.0548238510401628,,0.0709473774154047,0.0905548033415685
BRD-K80348542,3.217447150983744,0.0552745157625213,,0.0714324446498854,0.0905548033415685
px12,3.203600192777544,0.1221112151334031,,0.017964001181879,0.1276796825750833
vandetanib,3.194039299052167,0.0424144055037737,0.087557250746327,0.0603624737465757,
idelalisib,3.1921157510894655,0.1218142129798249,0.0286149829769035,,0.0905548033415685
bms-536924,3.187515634706208,0.0588232504624675,,0.0709473774154047,0.0916613541827236
amuvatinib,3.1755058108635286,0.1218142129798249,0.021016429512913,0.0709473774154047,
s1120,3.1692647084126073,0.0620975867409299,,0.0709473774154047,0.0905548033415685
QL-XI-92,3.167330406488587,0.1218142129798249,0.0930614005896247,0.0164038184047346,
auranofin,3.1671823551605627,0.0358348655563627,0.0993581474570771,0.0709473774154047,
doxorubicin,3.1661848962058974,0.0625395187550779,,0.0709473774154047,0.0905548033415685
bi 2536,3.16515923418362,0.1218142129798249,,0.0288918917447937,0.0956141170779862
fk506,3.1352858632586065,0.0665805857264399,,0.0717081951865504,0.0905548033415685
amodiaquin dihydrochloride dihydrate,3.0943037093805756,0.0441923769742927,0.0942974209770508,0.0709473774154047,
ym-155,3.0941561383510985,0.0414813718628451,0.1021061949395158,0.0709473774154047,
amsacrine,3.0786576075669134,0.0765035914704347,,0.0709473774154047,0.0905548033415685
KIN001-265,3.0771953651965664,0.0424144055037737,0.1042744041884188,0.0709473774154047,
nutlin-3,3.0718843907619258,0.1250529675855737,,0.0386698924248685,0.0914372667957408
BRD-K19220233,3.037992760751692,0.0456415745877434,0.1604099511430123,0.0471060804133505,
BRD-U82589721,3.028930284449337,0.0461028945753837,0.1079544517802669,0.0709473774154047,
NVP-BGJ398,3.024063922923425,0.1218142129798249,0.089760365948435,0.0256869787988156,
digitoxigenin,3.0116032979972536,0.1221112151334031,0.1409112346319952,0.0169085285917282,
LY2603618,2.9838015212924525,0.0573172608155479,0.0936386120756403,0.0709473774154047,
mw-a1-12,2.9801254981094463,0.0864202102310235,,0.0709473774154047,0.1005796468417214
paclitaxel,2.9555628593247603,0.1239612387208105,0.1097520059180196,0.0250337882885844,
trichostatin a,2.9550679925382655,0.0922755275302526,,0.0709473774154047,0.0997921532670172
BIX-02189,2.9205286868676223,0.1218142129798249,0.0930614005896247,0.0333769849110493,
HG-14-8-02,2.9134102850010697,0.1221112151334031,,0.0719309166576898,0.0820921606209938
AGK-2,2.899735977764171,0.115505709848125,,0.0709473774154047,0.0905548033415685
BRD-K49865102,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
"l-690,488",2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
hy-50878,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
hy-11005,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
zm 336372,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
importazole,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
gemcitabine,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
BRD-K54256913,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
simvastatin,2.8766414675517815,0.1218142129798249,,0.0709473774154047,0.0905548033415685
BRD-K50140147,2.876319972201056,0.1218142129798249,,0.0709473774154047,0.0906218632003973
BRD-U29336476,2.876204549886299,0.121936824629024,,0.0709473774154047,0.0905548033415685
BRD-K31342827,2.876204549886299,0.121936824629024,,0.0709473774154047,0.0905548033415685
puromycin dihydrochloride,2.8747698759662406,0.1218142129798249,,0.0709473774154047,0.0909458912568049
BRD-A36630025,2.8745237606563365,0.1224096540503466,,0.0709473774154047,0.0905548033415685
bibr1532,2.8745237606563365,0.1224096540503466,,0.0709473774154047,0.0905548033415685
sb 218078,2.8742022653056116,0.1224096540503466,,0.0709473774154047,0.0906218632003973
pkc-412,2.8726536978282717,0.122846910281489,,0.0709473774154047,0.0906218632003973
pp-30,2.871897717848145,0.123152069231149,,0.0709473774154047,0.0905548033415685
pp 1,2.871366690183904,0.1218142129798249,,0.0709473774154047,0.0916613541827236
emetine dihydrochloride hydrate (74),2.8696492329683894,0.1224096540503466,,0.0709473774154047,0.09157691717359
hy-50940,2.8652454289365235,0.1250529675855737,,0.0709473774154047,0.0905548033415685
BRD-K03829970,2.8652454289365235,0.1250529675855737,,0.0709473774154047,0.0905548033415685
le 135,2.864192767366921,0.1218142129798249,,0.0719309166576898,0.0921672847033904
BRD-K83972459,2.8635034773327934,0.1218142129798249,,0.0709473774154047,0.0933360638531586
s1142,2.86045571988446,0.0604072459902647,0.1250641133114461,0.0709473774154047,
periplocymarin,2.8591178474876724,0.1250529675855737,,0.0722097469580451,0.0905548033415685
etoposide,2.85502461334145,0.1280309057390878,,0.0709473774154047,0.0905548033415685
AZD4547,2.853429797987472,0.1285019248912812,,0.0709473774154047,0.0905548033415685
cot-10b,2.8499042535339125,0.12530829809901,,0.0712168960348166,0.0933360638531586
BRD-K06666320,2.8483802077115135,0.1225011337078354,,0.0764205643797131,0.0905548033415685
anisomycin,2.84828062979875,0.1285019248912812,,0.0715090960990052,0.0910585449331282
BRD-K37865504,2.8428280889634117,0.0713729915561979,0.1068098160403869,0.0709473774154047,
AT7867,2.840358348488415,0.1186311937540381,0.0569989810895004,0.0709473774154047,
p8624,2.833956761810697,0.1342954114243033,,0.0709473774154047,0.0906218632003973
bjm-ctd2-9,2.8313411755189404,0.1218142129798249,,0.0709473774154047,0.100510581082059
epirubicin hydrochloride,2.830921019920903,0.1224096540503466,,0.0798781971188994,0.0910585449331282
ku 0060648 trihydrochloride,2.8289251460267293,0.1224096540503466,,0.0709473774154047,0.1005796468417214
MGCD-265,2.828567242723577,0.1211717984940226,0.0930614005896247,0.0437793611355409,
s1040,2.8248122823411905,0.0124290701906704,,0.0709473774154047,
BRD-K01614657,2.8096851988657234,0.1218142129798249,,0.086026386742438,0.0905548033415685
chr 2797,2.800390047877012,0.1218142129798249,,0.0709473774154047,0.1079351529859398
cymarin,2.790777927730973,0.1299814417858817,0.1185556280840366,0.0350956853067158,
phorbol-12-myristate-13-acetate (pma),2.7873237636457913,,0.0930614005896247,0.0709473774154047,0.0905548033415685
D-4476,2.7873237636457913,,0.0930614005896247,0.0709473774154047,0.0905548033415685
parthenolide,2.7847205808861077,0.1224096540503466,,0.0709473774154047,0.1113562690201911
KU-60019,2.78427566404537,,0.0938814327691289,0.0709473774154047,0.0905548033415685
barasertib,2.7823748770343513,0.1218142129798249,0.0930614005896247,,0.0905548033415685
BRD-A11702965,2.779296629629468,0.0424144055037737,0.2337631408536903,0.0745952972611129,
ct-200783,2.7708233650129936,0.1218142129798249,,0.0709473774154047,0.1155392633579247
lde225 (nvp-lde225),2.7645153960522397,0.095437676888818,0.0930614005896247,0.0709473774154047,
BRD-K16533489,2.7645153960522397,0.095437676888818,0.0930614005896247,0.0709473774154047,
ro 28-1675 ?,2.7591146796357666,0.1224096540503466,,0.0709473774154047,0.1181192206339362
BRD-K77681376,2.75265678350436,0.1433444351823553,,0.0801426559097681,0.0928691336502539
pd 198306,2.7229419311636196,0.0157148048345511,,0.0709473774154047,
