source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
Proliferating MG,Homeostatic MG,Cd14,Itgb1,0.71469533,1.0,0.45022318,-0.19758196171525236,-0.32561499276101125,0.009465993,0.8083418,1.0,0.9903768198147223,OpticNerve,MB
Homeostatic MG,T cell,H2-M3,Cd4,0.2089052,0.0,0.038082536,0.9302035200040372,0.19489935829034738,0.08710269,0.5508926,0.01320122717686926,0.9905142630897711,OpticNerve,MB
MHCII+ Mac/APC,NK cell,Icam1,Itgal_Itgb2,0.49385688,0.96,0.098729365,-0.26533887820153235,-0.4205311158066741,0.0043203975,0.6638706,1.0,0.990514913763036,OpticNerve,MB
DAM-like MG,DAM-like MG,Arf1,Insr,0.6593046,0.01,0.43450433,0.06070254115350198,-0.04103927220591863,0.018935056,0.8055739,0.24601665928349198,0.990514913763036,OpticNerve,MB
NK cell,NK cell,Sptan1,Ptpra,0.7146644,0.95,0.51053315,-0.08856981556877389,-0.0740001104381604,0.013391388,0.8178916,1.0,0.9906075482233254,OpticNerve,MB
BAM,MHCII+ MG,Lrpap1,Sorl1,0.38985163,1.0,0.13389236,-0.22122172162345494,-0.025709879758783805,0.0051486795,0.6969716,1.0,0.9907478732406021,OpticNerve,MB
NK cell,DAM-like MG,Psen1,Notch2,0.71463114,0.38,0.49984777,0.02382758937076424,-0.042176251090799144,0.018723426,0.81631106,0.2905117417092445,0.9908382887969076,OpticNerve,MB
MHCII+ Mac/APC,Homeostatic MG,Spp1,Cd44,0.19573593,0.29,0.038100183,0.05955067125676568,-0.4351810447376946,0.0043133236,0.5509499,1.0,0.9908873383484266,OpticNerve,MB
Proliferating MG,BAM,a,Mgrn1,0.38980457,0.01,0.15192093,0.2685585833216167,0.07415014075245721,0.039075043,0.71014327,0.05898789131494306,0.9909808692418407,OpticNerve,MB
Proliferating MG,T cell,App,Lrp6,0.6853231,0.43,0.43496373,0.010050098896501448,-0.04252695310699661,0.016897172,0.8056566,0.3261550426853047,0.9912136453881277,OpticNerve,MB
BAM,DAM-like MG,Icam1,Itgax_Itgb2,0.38977915,0.31,0.15192002,0.19406821357365395,-0.004657987805069874,0.020635856,0.7101427,0.2430697924161892,0.9912136453881277,OpticNerve,MB
BAM,MHCII+ MG,Lamc1,Itga6_Itgb1,0.26811597,1.0,0.038116235,-0.35665871012309025,-0.0639898019672756,0.006078702,0.55100197,1.0,0.9912603674281817,OpticNerve,MB
DAM-like MG,T cell,Lrpap1,Lrp1,0.71441954,0.95,0.48481146,-0.08818749832557296,-0.15014220348443563,0.014073479,0.81401,1.0,0.9912998064161433,OpticNerve,MB
Proliferating MG,Proliferating MG,Lrpap1,Sort1,0.6612892,0.32,0.43499002,0.045321813554831544,-0.06040645841710435,0.027869863,0.8056614,0.30229361881208006,0.9914467144051131,OpticNerve,MB
Iron+ MG (Fth1+),DAM-like MG,Spint1,St14,0.20514016,0.66,0.038116995,0.02843753919574786,0.052015304021251305,0.03279126,0.55100447,0.5243418735837455,0.9916333503318941,OpticNerve,MB
T cell,T cell,Adam10,Il6ra,0.6826643,1.0,0.43505928,-0.8393082262191944,-0.9584672009653348,0.00672843,0.80567384,1.0,0.9916795634925344,OpticNerve,MB
Iron+ MG (Fth1+),MHCII+ MG,Igf1,Insr,0.38969785,0.17,0.15166092,0.33645675198435043,0.6146388468661652,0.032668985,0.7099669,0.11358838336208299,0.9916795634925344,OpticNerve,MB
Proliferating MG,MHCII+ Mac/APC,Plau,Itgam,0.56223285,1.0,0.0985682,-0.5226951729208555,-0.5952043013145614,0.007680996,0.6636883,1.0,0.9919127055367052,OpticNerve,MB
Homeostatic MG,Proliferating MG,Gpi1,Amfr,0.3895986,0.43,0.15156992,0.018423178111926928,-0.10177777245750441,0.010653898,0.70990515,0.8015666975239871,0.9919127055367052,OpticNerve,MB
MHCII+ Mac/APC,Iron+ MG (Fth1+),Adam10,Axl,0.71437615,1.0,0.5082898,-0.334330398617216,-0.3508607955822981,0.010802363,0.8175634,1.0,0.99199217393943,OpticNerve,MB
BAM,MHCII+ MG,C3,C3ar1,0.30823758,0.98,0.038127743,-0.0965641335550451,0.2705451456623047,0.011410884,0.5510393,1.0,0.992006287062423,OpticNerve,MB
NK cell,DAM-like MG,Cd14,Itgb2,0.4942912,1.0,0.09852298,-0.3351313500700838,-0.5265560681013604,0.0030954927,0.6636371,1.0,0.9921456275766873,OpticNerve,MB
BAM,MHCII+ Mac/APC,Psen1,Ncstn,0.38951483,0.76,0.12845352,-0.07637220222879403,-0.10730123577986869,0.014557917,0.69257456,0.645108195274497,0.9921456275766873,OpticNerve,MB
MHCII+ MG,Homeostatic MG,Pros1,Axl,0.7141206,1.0,0.48634556,-0.39021434500609586,-0.16096783792418623,0.011877239,0.81424904,1.0,0.9922231144161444,OpticNerve,MB
DAM-like MG,DAM-like MG,Lrpap1,Sorl1,0.68608034,0.0,0.43525362,0.26335140170530635,0.20219304468804872,0.016737185,0.80570877,0.15051221797302702,0.9923788426594826,OpticNerve,MB
DAM-like MG,BAM,Sema3c,Nrp1_Plxna4,0.43225038,1.0,0.09849564,-0.260196172346234,-0.48447727782607825,0.02059231,0.6636061,1.0,0.9923788426594826,OpticNerve,MB
Proliferating MG,Iron+ MG (Fth1+),Spp1,Itgav_Itgb1,0.19877347,1.0,0.038127847,-0.48066461906831337,-0.7698491895895617,0.002507093,0.5510397,1.0,0.9925657081886428,OpticNerve,MB
Proliferating MG,Iron+ MG (Fth1+),Spp1,Itgav_Itgb5,0.19877347,1.0,0.038127847,-0.48066461906831337,-0.7698491895895617,0.002507093,0.5510397,1.0,0.9925657081886428,OpticNerve,MB
