gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Trmt10b,-0.08163049413346538,0.7286372675001462,476.7806746666667,504.59387803333334,0.8934208603933783
Sema4c,0.7389924362112981,0.7286427991170378,298.2804284266667,178.3161587666667,0.8933575647500523
Pbk,1.0652595760888528,0.7286860436942042,582.9629661233333,278.06811586666663,0.8933405136458122
Stx11,-0.31415118178882234,0.7288294139378488,109.58195219666668,136.48432365666665,0.8934462057299439
Phf19,0.16361885987567829,0.7289800255855998,20.554906883,18.243850147,0.8935607575226246
D7Ertd128e,0.5447654907509126,0.7290393836497344,61.917505670000004,42.13012766,0.8935634443526227
Ccdc184,-2.042464503210095,0.7290456999001652,2.3028755146666664,12.606150986666668,0.8935011239720466
Fdx2,0.5201452695975198,0.7291035481258588,145.37739602666667,101.06919481,0.8935019647789336
Rab9b,-1.9832515761037226,0.7291486688200159,0.9948248363333333,6.8872022966666675,0.893487209338795
Tfcp2,0.11165564189605261,0.7292105884435192,332.3205580666667,307.4966148666667,0.8934930397398015
Rnf213,0.21984303987292658,0.7292224663495026,2428.6221776666666,2085.216586,0.8934375585130174
Pkp3,-0.2217720550447436,0.7292508734868363,7.241959774666667,8.61148586,0.8934023358784181
Zmynd19,0.12499790355862869,0.7293205432052863,46.722951843333334,42.76220338666667,0.8934176654264757
AI463170,-0.4275675920439789,0.729330357578289,4.815516303333333,6.821660257333334,0.8933596755196486
Lifr,-0.021057476541259158,0.7294909226103936,1506.1751488,1528.3351016666666,0.8934863353175884
Gpr20,-2.568634742733499,0.7295187266151286,3.6846008233333336,26.79128934666667,0.8934503812364706
Ino80,0.13086908053229596,0.7295504935827465,547.8138869,500.2213631,0.8934192858972039
Uba7,-0.08717018242237268,0.7295848024658083,3314.2723439999995,3520.7623836666667,0.8933913080566431
Ddr2,-1.4736050831890153,0.7297180253928552,57.97016502333333,162.76899161333333,0.8934844473535736
Nrm,-0.07312080711900244,0.7298185684558511,1014.5434455999999,1067.3414133666668,0.8935375611759544
Col14a1,0.36717946925835965,0.7298997931521518,403.17596209999994,312.35631166666667,0.8935670165069929
Arhgap44,1.0358016747399552,0.730062642483347,160.63104814333335,77.83469932999999,0.8936963869259298
Nr2c1,0.10539424187519668,0.7303532912658274,421.83413205333335,392.0458445,0.8939821688156733
Usp6nl,-0.07089303263100219,0.7304991538069976,520.9387238,547.2270354,0.8940906955725612
LOC118568596,0.7544954324520089,0.7305857095239605,53.56608101333333,31.344244158,0.8941266227348126
Vmn2r57,1.6082970051157521,0.7307438985209394,11.873269735666668,3.2222430423333335,0.8942502057293356
Zfp457,0.017683635417039767,0.7308389419841359,7.947340069666666,7.838338682666667,0.894296500873182
Ptpn22,0.3089084886496334,0.7309602888415708,398.5004864966666,321.49767761333334,0.8943749725935494
Ccnl2,-0.007078089692634215,0.7309818324564819,4147.608198666667,4168.011936666667,0.8943313261683836
Arhgap45,-0.08120539840990072,0.731033572319324,5682.330655666666,6011.404410666667,0.894324627762648
Ubxn6,0.36391771324230754,0.7312014078493648,1785.7460157000003,1387.3938289999999,0.8944599472604023
Angptl1,-0.27537089498104644,0.7312808920693197,15.588248968,19.07684399,0.8944871761433238
Ism2,-0.10402166037323878,0.7315205453889619,18.369831783333332,19.818023243333332,0.894710300858753
Klf7,0.09269521270078061,0.7315400781481104,1754.838141,1645.5709129333336,0.8946641860208993
Cdh1,-2.535134909958031,0.731585749324246,3.6846008233333336,26.15340150333333,0.894650042848325
Lrrn1,-1.3291886005085496,0.7316859454721515,22.407280755000002,57.81344282333333,0.8947025748005321
Cish,-0.247080954384863,0.7317038144709223,45.45981698400001,54.13866835333332,0.8946544371084939
Trib1,0.21000656658113495,0.7320531728345665,3066.0486813333337,2650.5657063333333,0.8950115873740405
Cdyl,0.5321033877378614,0.7321035817904025,550.5068238,380.3922026,0.8950032134338949
Zfp951,-0.28059273356757586,0.7321198685809853,224.60057882,273.0356335733333,0.8949531294118543
Bhlhe23,-0.8048515501970779,0.7323623178756368,63.2438072,111.23174843333334,0.8951794956767343
Anln,0.2947965070690722,0.7323963396113697,237.59216213333335,193.49730209999998,0.8951510817472298
Vps51,-0.05958820936875742,0.7325572278891088,1271.7480734666667,1325.4176333333335,0.8952777192443049
Rbak,-0.35587687583596017,0.7327147730335013,124.07096778,159.06122072000002,0.8954002515273753
Sfxn1,0.13225809356241666,0.7327599090380053,2060.0462373333335,1879.5032203333337,0.8953854079247233
Zfyve26,-0.138528360484036,0.7327860364945584,423.8242957,466.6388004666666,0.8953473412371175
Tspan14,-0.0815905623191624,0.7327872734325312,3993.2074536666664,4225.606576,0.8952788706443564
Cfap161,1.0184575839940402,0.7328602979301335,7.486764966666666,3.189439208,0.8952981099606032
Lrrn3,0.6285406356224662,0.7329368621312091,253.44595749333337,163.58337755333332,0.895321670207325
Cox4i2,-0.30060192725479906,0.7330092590842154,2386.960382333333,2940.1509473333335,0.8953401366527601
Anks1,0.35208794684903544,0.7330115442705594,491.1676534666667,384.58846576666673,0.8952729683148237
Aifm3,0.8497491662351014,0.7331689161424488,28.507856463,15.37335486,0.8953952127683895
Prag1,1.1628585379082348,0.733200308438364,1510.4251745000001,674.0428645666667,0.8953635954062554
Mrpl3,0.09999597539194152,0.7332813860280423,1101.5940777666667,1027.7595207,0.8953926525274845
Mir22hg,0.20725163260968765,0.7333876127937071,531.269131,460.0439441333333,0.895452411777725
Lrrc32,-1.8615670436503615,0.7334713179608241,8.422966143666667,33.24326366333334,0.8954846653944889
Catsperg1,-0.16903828440242388,0.7336697017260245,72.09432310833334,81.18058769333334,0.8956569125023031
Mybbp1a,0.1882028096402887,0.7337943898869845,2254.2028793333334,1978.3879696666665,0.895739172848376
Ppp4r2,-0.16170122509821463,0.733934091819183,484.24002376666664,541.7921203333334,0.895839746152245
Svip,-0.05546583610294557,0.7340214150946806,910.6265803,946.3574174333334,0.8958763753685447
Tstd1,0.36686923671610966,0.7340473922752836,32.18554418,24.734177900000002,0.8958381315314614
Fem1a,0.33879528656516106,0.7343034565959828,497.79082353333325,393.3945558,0.8960806721876655
Rhob,-0.11210193084612477,0.7344358806936881,22523.592910000003,24343.619690000003,0.8961723068792381
Rbm11,1.3299491088198232,0.7344590300408771,4.6057510299999995,1.229868389,0.8961305985925337
Asb1,0.3839228603936078,0.7345378810899256,222.38737762333332,170.1931302,0.896156854458057
Lonrf3,0.1344112229551167,0.734595430110542,1430.2570130000001,1302.9346249333332,0.8961571191803545
Lrig2,0.3914796331250533,0.7346774637993145,821.8833304999999,626.3229159,0.8961872511820732
Brme1,0.9119026289455974,0.7350703953564108,47.03546656166666,24.530067841333334,0.8965965938209954
