,log2fc,p,fdr
Lhx1,-0.4692844349462,0.7259586472994123,0.8936812945951514
Lhx1os,-0.03353200661988237,0.8513618898412625,0.9444381219352003
Lhx2,-1.094728737234455,0.09659390908118855,0.7517629275291794
Lhx3,-0.47934601591703047,0.7093414567397585,0.887463050180372
Lhx4,-0.9174665612684094,0.9987815558053047,0.9997203093621786
Lhx9,-1.8876349212976555,0.24559612173746226,0.7530939733468993
Lias,0.7487701220105247,0.25343189481998807,0.7574342730799326
Lif,1.1975450949386013,0.10174467151632746,0.7517629275291794
Lifr,-0.021057476541259158,0.7294909226103936,0.8945995251691553
Lig1,1.5362286089124342,0.07917852535722723,0.7517629275291794
Lig3,-0.77476360662137,0.3344053038696007,0.7637747757727058
Lig4,-0.7300863692907434,0.4315153557751324,0.7675917648050855
Lilra5,0.9184608102739259,0.1680947772753563,0.7517629275291794
Lilra6,0.3398652978726868,0.8650142719511511,0.950405969021785
Lilrb4a,1.3502868379430848,0.06855523101650814,0.7517629275291794
Lilrb4b,1.4027196632746257,0.08478240828210341,0.7517629275291794
Lim2,-3.6286972768584373,0.06864741379801531,0.7517629275291794
Lima1,-0.640050176325328,0.03844103921596312,0.7517629275291794
Limch1,-1.2308795788786304,0.16142509951179476,0.7517629275291794
Limd1,0.6434162264163872,0.20431185148855902,0.7517629275291794
Limd2,0.20867900789505964,0.8259510570776307,0.9336515609634355
Lime1,0.6498166309762439,0.6998266134049279,0.883038984531474
Limk1,0.31361774592870556,0.4086052803297706,0.7637747757727058
Limk2,-1.2097967590938263,0.1500334947153984,0.7517629275291794
Lims1,0.6124581723638051,0.16740400405087186,0.7517629275291794
Lims2,-2.0407543647798314,0.1910435514191999,0.7517629275291794
Lin28a,-1.1808692719550478,0.1091619924546115,0.7517629275291794
Lin28b,-0.41874847372266993,0.9411957741750686,0.9805681493261008
Lin37,0.585873510071274,0.24724067330407093,0.7535888999043093
Lin52,-0.5224867773072458,0.3381538330467802,0.7637747757727058
Lin54,-1.2719899234306862,0.14822661199869497,0.7517629275291794
Lin7a,-0.050212358006553444,0.5434388898539748,0.816905245246143
Lin7b,-0.9494649366305608,0.23472867808102477,0.7517629275291794
Lin7c,0.26555490154915584,0.6116611201830441,0.8457428025712497
Lin9,-0.18533576500907628,0.6153498142081858,0.8470631342086671
Lincred1,2.0786186193754332,0.42264973081037427,0.7637747757727058
Lincred2,-0.7028726667735385,0.7058976411771446,0.8857272840498563
Lingo1,-3.0894555657409737,0.002197095248825333,0.7517629275291794
