total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
1355,872,2.4354243542435423,GSM8880855,OpticNerve,Sham
10169,3762,0.4326875798996952,GSM8880855,OpticNerve,Sham
1698,1096,0.0,GSM8880855,OpticNerve,Sham
4185,2089,0.7168458781362007,GSM8880855,OpticNerve,Sham
4802,2313,0.4581424406497293,GSM8880855,OpticNerve,Sham
4754,2375,0.5889777029869584,GSM8880855,OpticNerve,Sham
4510,2286,0.6208425720620843,GSM8880855,OpticNerve,Sham
679,553,0.7363770250368188,GSM8880855,OpticNerve,Sham
1480,1008,1.5540540540540542,GSM8880855,OpticNerve,Sham
6608,2859,0.39346246973365623,GSM8880855,OpticNerve,Sham
1651,1076,0.0,GSM8880855,OpticNerve,Sham
877,647,2.9646522234891677,GSM8880855,OpticNerve,Sham
2981,1584,0.13418316001341832,GSM8880855,OpticNerve,Sham
8593,3378,1.198650064005586,GSM8880855,OpticNerve,Sham
4052,2081,0.22211253701875616,GSM8880855,OpticNerve,Sham
3775,2057,0.8741721854304637,GSM8880855,OpticNerve,Sham
3759,1903,1.1173184357541899,GSM8880855,OpticNerve,Sham
2911,1597,1.1679835108210237,GSM8880855,OpticNerve,Sham
2510,1413,1.8326693227091633,GSM8880855,OpticNerve,Sham
7896,3332,0.671225937183384,GSM8880855,OpticNerve,Sham
5942,2726,0.47122181083810166,GSM8880855,OpticNerve,Sham
8071,3276,0.7557923429562632,GSM8880855,OpticNerve,Sham
2879,1624,1.528308440430705,GSM8880855,OpticNerve,Sham
3596,1901,0.41713014460511677,GSM8880855,OpticNerve,Sham
4119,2148,1.0682204418548191,GSM8880855,OpticNerve,Sham
4986,2582,0.4612916165262736,GSM8880855,OpticNerve,Sham
4630,2240,0.9719222462203023,GSM8880855,OpticNerve,Sham
4232,2145,0.2599243856332703,GSM8880855,OpticNerve,Sham
5466,2571,0.12806439809732895,GSM8880855,OpticNerve,Sham
1026,756,2.3391812865497075,GSM8880855,OpticNerve,Sham
4130,2029,1.0169491525423728,GSM8880855,OpticNerve,Sham
3941,2068,0.7104795737122558,GSM8880855,OpticNerve,Sham
4373,2254,0.6402927052366796,GSM8880855,OpticNerve,Sham
5657,2647,0.5833480643450593,GSM8880855,OpticNerve,Sham
