gene,spearman_dpt
Gm47471,0.028269265648135016
Hist1h2bc,0.028285051482012855
Gm43569,0.02843783167935392
Gm16178,0.028603896545377733
Tubb4a,0.028650417408285375
Spock2,0.028759770315430453
Kirrel3,0.028936698642223466
Gm17216,0.028937522985243058
Gm16572,0.02895049628570166
Gm13209,0.028953428973736473
Cspg5,0.029005347183242648
Gm16068,0.029005562593895595
Gm12743,0.029011000030100056
Edil3,0.029053021925824044
Dip2c,0.029057151229303288
Cacnb4,0.029098633075647907
Crx,0.029129227640631583
Xlr3b,0.029146040004498566
Ccdc34os,0.029178466318845766
Gm21798,0.029251743740549497
Bbs9,0.029339881631918915
Clcn2,0.029384062617191543
Khdrbs3,0.029387740992843796
Mylk,0.029482752774107283
Ctnnd2,0.02965139526053857
4930511M06Rik,0.02966456264559363
Lmtk3,0.029681748054860804
Grik2,0.029724285157800654
Shc4,0.029753497605072395
Gm46124,0.02993052768987695
Gm36816,0.029957914476885353
Pcdh15,0.030029581799055488
1810024B03Rik,0.03006292300752174
Gm34804,0.030084304814309674
Abcg3,0.030245836256306943
Amy1,0.030274717471991727
Platr31,0.03030236519524262
Gm14764,0.030341742110960863
Elavl4,0.030389710937030405
Gm34885,0.030406915665808356
Nrg4,0.030563503258047423
Arhgap31,0.030623480485336505
Gm26531,0.030675541546105266
Rcvrn,0.030691391400180703
Neo1,0.030760046387894778
St6galnac5,0.030769893939114504
Epcam,0.03080529788427247
Gnat1,0.03090647228533444
Gapdh,0.030933783704451438
Fat3,0.031019832880739055
Ier2,0.03109099957494044
Gm11831,0.031100162634323657
Kcnrg,0.031121003965003526
Fbxo47,0.031123920592267436
Gm13703,0.031124814504099572
Esrrg,0.031135691452100378
Ror1,0.031138530100491765
Caprin2,0.031191352862260092
Gm47368,0.03120035343182278
Ptgds,0.03125543775266171
Dnajc6,0.03125715169157882
Ccr1,0.03128126999141002
Elp4,0.03128760137825256
Adam22,0.031360911206485355
Enpp6,0.03156716266000347
Stpg1,0.03172455792640632
2610206C17Rik,0.031726266603177594
Gm46367,0.031760537362295005
Hspa1b,0.03178363594507204
Tspan18,0.03193605604903596
Gm45435,0.03196573141698534
Rom1,0.03201705625675424
A230072E10Rik,0.032083534139385965
Zfp329,0.032184033843189505
Pde10a,0.03221319534660967
Ica1,0.03230418036273166
C1ra,0.03233848628047102
Mrc2,0.03237656948319424
Gm16122,0.03244966678131324
Bnc2,0.0324596724905443
Ryr1,0.03255071372245558
Zswim5,0.03255776654722449
Gclc,0.03257928682019142
Gm20650,0.03258742564958568
Palm,0.03280786691295273
Ube2cbp,0.03290235572618981
Fbxo36,0.03291347966704365
Vipr2,0.03291797343951638
Zfyve9,0.032952811082743144
Grm3,0.03298360430754669
AY074887,0.033050541117503246
Rnf113a1,0.03325780854743851
Atp2b2,0.03333189007054705
Crppa,0.033344107529590744
Dmac2l,0.033410961644348196
Grin2d,0.033487054200534806
2810021J22Rik,0.03353620386284464
4932443L11Rik,0.03353878562910074
Rgs20,0.03358442120763915
Gm48689,0.03359571230880715
Rnf219,0.03363407337555183
Pdzph1,0.03365049998785088
Mblac2,0.03366007409502944
Clgn,0.0336679235496398
D830024N08Rik,0.03367117309983328
Npas1,0.03367392805614553
Cep112os1,0.03367427911881973
Frmd5,0.03371749878762083
Osbpl10,0.0337419732120316
Gm15700,0.03374774302297346
Spock1,0.033789565599192606
Gm15965,0.03385287475512457
Gm13479,0.03385938087845874
Gm26787,0.03394252945963081
Lyzl4,0.033946817598375485
Ldlr,0.034004246287870944
1700019D03Rik,0.03401021716180002
Gm40841,0.034012989818236174
Tm4sf20,0.0340459945562116
Gm13561,0.03412960615212378
Mis18a,0.034266427896118466
Dclk2,0.03430050632315264
Pde4d,0.034339539239109165
Slc24a3,0.03434543555651638
Sox5,0.03436207034686373
Opn3,0.034429815928567475
1500035N22Rik,0.03450522578890428
Ddo,0.03467801697619713
Syn1,0.03470389492392038
Stard6,0.034714820655937055
Nova1,0.03477037480126687
Exd1,0.03477417830641611
Pid1,0.03480469925699951
Plag1,0.0348364720117134
Lyz2,0.03483725065973457
Ccnd3,0.034924221855243694
A530088E08Rik,0.0350263902993079
Cecr2,0.03503145474477654
B4galnt2,0.03509631021615058
Pacrg,0.03515069528316317
Mtss1,0.035165675533607776
Phkb,0.03520195303495138
Zfp2,0.03522698389258727
Gm15567,0.03525691942146372
Necab2,0.0352929861637949
Mapk10,0.0353568742074373
Stxbp6,0.03557932345658473
Xrra1,0.03569109341376436
Rasgrf1,0.035912535096458975
Nrde2,0.03594211592858408
B430010I23Rik,0.03612188778941564
Gm42601,0.03612763124040953
Hspa5,0.03622353994179507
Abcc2,0.036248247955827054
Boll,0.036341938144922786
Tnfrsf23,0.03635196728663031
Gm26542,0.0365457507175151
Zfp942,0.036601698471999164
Gm42413,0.03660558812468893
Pls3,0.036647130671977196
Chst9,0.03666818663541789
Rps5,0.036786754855138985
Ube2e2,0.03684677979949763
Tent5a,0.03684793571361085
Zpbp,0.0369123190849264
Slc25a40,0.03692637071554277
Agbl5,0.03694127798330059
Gm48796,0.03694450643563222
4631405J19Rik,0.036966852871469606
Thrb,0.03704630329297402
1700034P13Rik,0.03714184008781852
Gm46224,0.03733128340205715
Atp8b1,0.037341230794539944
Invs,0.03739791909186554
Rgs9,0.03740037422640577
4933421D24Rik,0.037454661459681335
Gdf11,0.03748636031674086
Scaper,0.03749947897455084
Dpp10,0.03750476814643263
Gm11655,0.03751179712042939
Mthfd2l,0.03775022348098641
Slc35e3,0.03784243873522963
Gm13427,0.037873615376406225
Tonsl,0.03792311775579304
C78197,0.03802179797562773
A530072M11Rik,0.03805690180150415
Gm10550,0.03806259993986529
Upp2,0.03808350681880367
Batf2,0.03811660956870584
Gm10125,0.03811694055380065
Gm26879,0.0381227832191738
C530008M17Rik,0.03812904165382274
2810403D21Rik,0.03824567160931765
Dtd1,0.038246288322415195
Il1r2,0.03831334983549657
Cox16,0.0384264160335202
Gm48512,0.03843164901038825
Ccdc78,0.03844522922748803
Gm26586,0.03845164227748773
Fry,0.038469307745446074
Tead1,0.038470932642891725
Elovl6,0.03852018942337722
Nlrp1a,0.03855810467494047
Acot11,0.03857540123418954
Mpp4,0.03860877221223957
Ccl8,0.0386242417638696
Gm4524,0.03867581693619906
Nbea,0.038683654969319546
Fam184a,0.03868513062004442
Rsph10b,0.038700355498478084
F630206G17Rik,0.03884876181608475
Gm13571,0.03890402251795286
Mcc,0.038979612579883395
Sla2,0.03902664945994852
Macrod2,0.039054597664912205
Gm48250,0.0390678627301774
Plekha6,0.0390945817771056
Batf,0.0392349439716398
Egfem1,0.03933947407392174
1700028E10Rik,0.03938031209059931
Txnl4b,0.039430703049580226
Gm47507,0.039499975088460815
Gm5127,0.03952853428410159
Gm17029,0.03953857572752539
Patj,0.03958986218839217
Zfp626,0.03966896906280365
Hyal5,0.03975563835690801
Eps8,0.03979392466827326
4931403E22Rik,0.03982469877047496
4930520O04Rik,0.04002271839409803
Xkr4,0.04008627120308958
Fsd1l,0.040135962184197134
Pdgfb,0.04015261177434924
Gm43376,0.04021011717212991
Galm,0.04021855054119043
Mmp19,0.040241364179543375
Pwwp3a,0.04026386371126429
Maml2,0.04027726712178352
Trmt10b,0.040398160646537555
Gm17058,0.04040638672255064
Pfas,0.04043211034440298
Auts2,0.04044980591746053
Hspb1,0.04052835490466786
A730085K08Rik,0.04052876904894685
Lrp2bp,0.04053210373940847
Cdr2,0.040607091227890905
Garem1,0.040614047898523395
Gm50232,0.040623356987226106
Gm38155,0.040647801044126144
Il12b,0.04071783779428441
Arhgap15,0.040736126982240675
Pde1c,0.04078186285233356
Il17rb,0.04080532347379703
Gm11290,0.04083613232598016
Pde6g,0.04094887681055656
Hspa12a,0.04102856035996351
Gm33843,0.04111115058784522
Rpsa,0.04117344858231015
5830444B04Rik,0.04129249579817802
Srl,0.041340335863716174
Snx7,0.041378719191626785
Gm26533,0.04140756186667006
Grm8,0.04151747559367882
Man1a,0.04157964847852679
Pstpip2,0.04158210196642193
Cfap45,0.04164032679157092
Gm49961,0.04167123511496214
Prrg1,0.04169129849712567
Kctd4,0.041827390192949974
Bnipl,0.041891991912182666
Gm45820,0.04192211476926569
Stard13,0.0419254692722535
Grk4,0.04198576125833985
Gm45615,0.04200228207309905
Gm34868,0.04202682286843866
Cpeb1,0.04205721370778303
Sdhaf3,0.04210853007153429
Gm44196,0.04214463403660583
Gm12367,0.042159543499199266
Gm10130,0.04225641144369617
Nrap,0.04226484783705877
Gm40117,0.04234491229247615
Plekhg1,0.042355090400994895
Rims2,0.04242625285518527
Unc119,0.04250652246422241
3200001D21Rik,0.042553333791716566
Rho,0.04258210217975136
Gm35154,0.04266579499779531
Setbp1,0.04274871937841778
Gm8251,0.042793238197575835
Dlgap1,0.04282059860924874
Arhgap6,0.042820982143463464
Gm20456,0.042877834587254485
Tiam2,0.04289374529745412
Gm43821,0.042935134959976085
Kcnip1,0.042947430252156846
Gm7854,0.042947686751038376
Sycp2,0.04295401311117568
Fam227b,0.04295675113849685
1110019D14Rik,0.04307404087626019
Myh7b,0.04307520149799251
Gm17344,0.04316299551216814
Ccdc152,0.04326197252985906
Cngb3,0.04329266168871332
Gm553,0.04332370942472429
Nfkbia,0.04335434637617172
Fam184b,0.043377602564232606
C030034L19Rik,0.04340761023082969
Gm19522,0.04342939073600883
2610027K06Rik,0.043541517512493425
Prxl2c,0.0435478989532199
Adgrl2,0.04384143592134725
Gm31224,0.04386765208925975
Plpp3,0.04393322960559172
Dipk1a,0.044102308529233955
Tfdp2,0.0442025829521066
A330009N23Rik,0.044210081680796307
Dip2a,0.044216474914520944
Plekha7,0.044236211634566175
Matn2,0.04427704548193705
Gm15265,0.04432104700675658
Dnah8,0.04437967743962011
Ctnnal1,0.04439111747043956
Fhod3,0.04448668955241377
Gm26979,0.044502096212729374
Ppm1l,0.044505551915770034
Gm5089,0.044542484031208786
Mipol1,0.04456497928343343
Acsl3,0.04474997914914318
Gm48065,0.04480192551370557
Capn2,0.044806422278990295
Gm49226,0.044859905756282285
Pcbp3,0.044894046287055754
Neurl1a,0.044929033519418245
Ptpro,0.04494374608371275
Phactr2,0.04494968774624006
Pdzk1,0.04496144196607744
Bcl9,0.04500258917408411
Chchd6,0.04501749175792098
